WARNING 2019-10-18 20:23:07,692 log 228 Not Found: /images/python_gui.jpg
WARNING 2019-10-18 20:23:07,693 log 228 Not Found: /js/commons.js
WARNING 2019-10-18 20:23:07,701 basehttp 154 "GET /images/zimeiti.png HTTP/1.1" 404 2059
WARNING 2019-10-18 20:23:07,705 log 228 Not Found: /images/dianshang.png
WARNING 2019-10-18 20:23:07,711 log 228 Not Found: /images/linux.jpg
WARNING 2019-10-18 20:23:07,712 basehttp 154 "GET /images/python_gui.jpg HTTP/1.1" 404 2068
WARNING 2019-10-18 20:23:07,718 log 228 Not Found: /images/python_advanced.jpg
WARNING 2019-10-18 20:23:07,720 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2044
WARNING 2019-10-18 20:23:07,722 basehttp 154 "GET /images/dianshang.png HTTP/1.1" 404 2065
WARNING 2019-10-18 20:23:07,724 basehttp 154 "GET /images/linux.jpg HTTP/1.1" 404 2053
WARNING 2019-10-18 20:23:07,726 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2083
WARNING 2019-10-18 20:23:07,759 log 228 Not Found: /images/jichujiaochen.jpeg
WARNING 2019-10-18 20:23:07,760 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2080
WARNING 2019-10-18 20:23:07,773 log 228 Not Found: /images/english.jpg
WARNING 2019-10-18 20:23:07,776 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2059
WARNING 2019-10-18 20:23:07,788 log 228 Not Found: /images/python_web.jpg
WARNING 2019-10-18 20:23:07,790 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2068
WARNING 2019-10-18 20:23:07,804 log 228 Not Found: /js/index.js
WARNING 2019-10-18 20:23:07,806 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2038
INFO 2019-10-18 20:28:22,880 basehttp 154 "GET /index/ HTTP/1.1" 200 16896
INFO 2019-10-18 20:28:22,955 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 200 3498
INFO 2019-10-18 20:28:22,957 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 200 1427
INFO 2019-10-18 20:28:22,961 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 200 5500
INFO 2019-10-18 20:28:22,978 basehttp 154 "GET /static/css/base/side.css HTTP/1.1" 200 4428
